zona,llenado_ayer,dia_semana_mañana,feria_ayer,num_contenedores,topografia,clima_mañana,bloqueo_ayer,llenado_mañana_real
46,38,6,0,10,1,0,1,38
18,90,1,0,26,2,0,0,98
47,26,1,0,10,0,0,1,25
70,56,5,1,3,1,0,0,73
62,47,6,0,5,0,0,0,51
22,33,7,0,23,1,1,1,43
22,65,1,0,23,1,1,0,77
25,48,5,1,21,1,1,0,65
25,86,3,0,21,1,1,0,98
29,53,6,1,18,0,0,0,63
29,78,1,0,18,0,0,0,81
33,62,6,1,16,2,1,0,94
33,67,3,0,16,2,1,0,80
41,45,7,0,12,0,0,0,48
41,60,1,1,12,0,0,0,79
48,73,1,0,9,2,1,0,84
48,31,7,0,9,2,0,0,40
51,44,3,0,8,2,1,0,59
51,31,5,0,8,2,0,0,40
56,18,2,0,7,0,0,0,21
56,17,2,0,7,0,0,0,20
58,82,1,0,6,1,0,1,82
58,28,4,0,6,1,1,0,41
64,81,3,1,4,1,1,0,100
64,28,4,1,4,1,0,0,41
74,31,3,0,2,0,0,0,33
74,70,1,0,2,0,1,0,80
77,67,3,1,1,0,0,1,76
77,47,3,0,1,0,1,1,52
